0 	 100
.01 	 94.1176
.02 	 94.1176
.03 	 94.1176
.04 	 94.1176
.05 	 94.1176
.06 	 94.1176
.07 	 94.1176
.08 	 94.1176
.09 	 94.1176
.10 	 94.1176
.11 	 94.1176
.12 	 94.1176
.13 	 94.1176
.14 	 94.1176
.15 	 94.1176
.16 	 94.1176
.17 	 94.1176
.18 	 94.1176
.19 	 94.1176
.20 	 94.1176
.21 	 94.1176
.22 	 94.1176
.23 	 94.1176
.24 	 94.1176
.25 	 94.1176
.26 	 94.1176
.27 	 94.1176
.28 	 94.1176
.29 	 94.1176
.30 	 94.1176
.31 	 94.1176
.32 	 94.1176
.33 	 94.1176
.34 	 94.1176
.35 	 94.1176
.36 	 94.1176
.37 	 94.1176
.38 	 94.1176
.39 	 94.1176
.40 	 94.1176
.41 	 94.1176
.42 	 94.1176
.43 	 94.1176
.44 	 94.1176
.45 	 94.1176
.46 	 94.1176
.47 	 94.1176
.48 	 94.1176
.49 	 94.1176
.50 	 94.1176
.51 	 94.1176
.52 	 94.1176
.53 	 94.1176
.54 	 94.6078
.55 	 94.1176
.56 	 94.1176
.57 	 96.5686
.58 	 93.6275
.59 	 95.5882
.60 	 94.1176
.61 	 92.6471
.62 	 97.549
.63 	 97.549
.64 	 95.5882
.65 	 97.549
.66 	 96.5686
.67 	 99.5098
.68 	 98.5294
.69 	 99.5098
.70 	 99.0196
.71 	 99.0196
.72 	 100
.73 	 99.5098
.74 	 99.0196
.75 	 100
.76 	 100
.77 	 100
.78 	 100
.79 	 100
.80 	 100
.81 	 99.5098
.82 	 100
.83 	 99.5098
.84 	 100
.85 	 100
.86 	 100
.87 	 100
.88 	 100
.89 	 100
.90 	 100
.91 	 100
.92 	 100
.93 	 100
.94 	 100
.95 	 100
.96 	 100
.97 	 100
.98 	 92.1569
.99 	 100
